Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789978675,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
1789978676,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
1789978677,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
1789978678,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
1789978679,4,,Aggregated,0.200000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,7,0,25000,19591.604242841382,6402.569899975788,25002.07980000414,1287.857142857143
1789978680,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978681,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978682,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978683,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978684,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978685,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,8,0,25000,20226.23543748341,6402.569899975788,25002.07980000414,1288.875
1789978686,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
1789978687,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
1789978688,4,,Aggregated,0.100000,0.000000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,9,0,25000,20731.05265553911,6402.569899975788,25002.07980000414,1282.111111111111
